city,timestamp,temperature,season,rolling_mean,anomaly
Beijing,2010-01-01,-1.8480700707816864,winter,,Expected
Beijing,2010-01-02,5.952605697299209,winter,,Anomaly
Beijing,2010-01-03,-6.694163569796056,winter,,Expected
Beijing,2010-01-04,-5.724755320142467,winter,,Expected
Beijing,2010-01-05,-14.141271129532443,winter,,Anomaly
Beijing,2010-01-06,-3.75128931972591,winter,,Expected
Beijing,2010-01-07,-0.5721084687041489,winter,,Expected
Beijing,2010-01-08,1.761293619148815,winter,,Expected
Beijing,2010-01-09,-8.707639829690986,winter,,Anomaly
Beijing,2010-01-10,-3.981900914903615,winter,,Expected
Beijing,2010-01-11,-1.263266165927719,winter,,Expected
Beijing,2010-01-12,-0.7322741712146814,winter,,Expected
Beijing,2010-01-13,4.62503901942248,winter,,Anomaly
Beijing,2010-01-14,-4.790062247067073,winter,,Expected
Beijing,2010-01-15,1.2885344009872886,winter,,Expected
Beijing,2010-01-16,-4.672543496616338,winter,,Expected
Beijing,2010-01-17,-7.159935521638687,winter,,Anomaly
Beijing,2010-01-18,-0.3977091376803272,winter,,Expected
Beijing,2010-01-19,-8.577246936784165,winter,,Anomaly
Beijing,2010-01-20,-1.2450236477492114,winter,,Expected
Beijing,2010-01-21,11.966055330349649,winter,,Anomaly
Beijing,2010-01-22,-0.1149417945565338,winter,,Expected
Beijing,2010-01-23,-6.055097625409197,winter,,Expected
Beijing,2010-01-24,-10.834441162833356,winter,,Anomaly
Beijing,2010-01-25,-3.202975073912236,winter,,Expected
Beijing,2010-01-26,-3.771293774043453,winter,,Expected
Beijing,2010-01-27,2.516409479140576,winter,,Expected
Beijing,2010-01-28,-5.118000744427549,winter,,Expected
Beijing,2010-01-29,-1.8152794152991607,winter,,Expected
Beijing,2010-01-30,1.8910055783706272,winter,-2.505678213790612,Expected
Beijing,2010-01-31,-1.0323398271651074,winter,-2.478487205670059,Expected
Beijing,2010-02-01,-4.183265759183611,winter,-2.81634958755282,Expected
Beijing,2010-02-02,2.289817370660126,winter,-2.5168835562042804,Expected
Beijing,2010-02-03,-7.749388979994821,winter,-2.5843713448660255,Anomaly
Beijing,2010-02-04,-11.793278314872785,winter,-2.5061049177107035,Anomaly
Beijing,2010-02-05,3.637226108038604,winter,-2.2598210701185533,Anomaly
Beijing,2010-02-06,1.5315504858768016,winter,-2.1896991049658547,Expected
Beijing,2010-02-07,0.6637865608384903,winter,-2.226282673576199,Expected
Beijing,2010-02-08,-3.355248438535556,winter,-2.047869627204351,Expected
Beijing,2010-02-09,8.438115212806515,winter,-1.6338690896140136,Anomaly
Beijing,2010-02-10,1.1612889441449292,winter,-1.5530505859449255,Expected
Beijing,2010-02-11,-2.058615350854518,winter,-1.5972619585995864,Expected
Beijing,2010-02-12,-6.46582333156143,winter,-1.9669573702990502,Expected
Beijing,2010-02-13,-9.897443683552677,winter,-2.1372034181819037,Anomaly
Beijing,2010-02-14,-3.1950845238399874,winter,-2.2866573823428125,Expected
Beijing,2010-02-15,-1.8121989649371448,winter,-2.191312564620173,Expected
Beijing,2010-02-16,2.370825854323773,winter,-1.8736205187547579,Expected
Beijing,2010-02-17,-8.785101211942353,winter,-2.153200254563492,Anomaly
Beijing,2010-02-18,5.438233802693855,winter,-1.6860175632475578,Anomaly
Beijing,2010-02-19,-4.164906386891609,winter,-1.7833469878856378,Expected
Beijing,2010-02-20,2.6288517569316863,winter,-2.09458710699957,Anomaly
Beijing,2010-02-21,1.5843005787574835,winter,-2.0379456945557695,Expected
Beijing,2010-02-22,4.972148122377723,winter,-1.6703708362962053,Anomaly
Beijing,2010-02-23,-0.8844435535774933,winter,-1.3387042493210102,Expected
Beijing,2010-02-24,-1.4788249669033584,winter,-1.2812325790873806,Expected
Beijing,2010-02-25,-1.6451618360793785,winter,-1.2103615144885784,Expected
Beijing,2010-02-26,-0.9017985044021049,winter,-1.3243017806066677,Expected
Beijing,2010-02-27,-2.666746375412662,winter,-1.2425933016395048,Expected
Beijing,2010-02-28,-3.791631320468188,winter,-1.3084716984784721,Expected
Beijing,2010-03-01,10.39663999835717,spring,-1.0249505511455876,Expected
Beijing,2010-03-02,16.419757705600308,spring,-0.4432139667200737,Expected
Beijing,2010-03-03,10.645813408298316,spring,0.051088672195990566,Expected
Beijing,2010-03-04,15.835133525550011,spring,0.50259921069232,Expected
Beijing,2010-03-05,9.141351644507324,spring,1.065623898175725,Expected
Beijing,2010-03-06,6.163096755408054,spring,1.664169733851753,Anomaly
Beijing,2010-03-07,18.03275336711637,spring,2.144020642487679,Expected
Beijing,2010-03-08,16.20927312334194,spring,2.6332780637365167,Expected
Beijing,2010-03-09,17.39368649383304,spring,3.190941394836335,Expected
Beijing,2010-03-10,20.407383247086216,spring,3.9830291176903936,Anomaly
Beijing,2010-03-11,15.86554130548767,spring,4.2306099874464325,Expected
Beijing,2010-03-12,13.33331911075347,spring,4.636344326333384,Expected
Beijing,2010-03-13,12.942100836119884,spring,5.136368199232531,Expected
Beijing,2010-03-14,10.972477855589169,spring,5.717644905470885,Expected
Beijing,2010-03-15,17.294343186581802,spring,6.624037801142033,Expected
Beijing,2010-03-16,13.032009641369756,spring,7.164940939982358,Expected
Beijing,2010-03-17,8.655843524054266,spring,7.513875689615405,Expected
Beijing,2010-03-18,14.510587245635875,spring,7.918534402659142,Expected
Beijing,2010-03-19,12.880015719977877,spring,8.640704967056482,Expected
Beijing,2010-03-20,6.006433770875249,spring,8.659644965995861,Anomaly
Beijing,2010-03-21,14.347627350423096,spring,9.276729423906353,Expected
Beijing,2010-03-22,23.730971584611872,spring,9.980133418162358,Anomaly
Beijing,2010-03-23,19.669339738056305,spring,10.582968056805653,Anomaly
Beijing,2010-03-24,12.871337644457194,spring,10.846274374208301,Expected
Beijing,2010-03-25,14.128448318621931,spring,11.346704103281615,Expected
Beijing,2010-03-26,14.660855231799149,spring,11.884693443238366,Expected
Beijing,2010-03-27,18.94957495916057,spring,12.571184669746366,Anomaly
Beijing,2010-03-28,11.924632411838257,spring,12.998732366954378,Expected
Beijing,2010-03-29,9.068760498580485,spring,13.389915929420814,Expected
Beijing,2010-03-30,20.292292123670297,spring,14.192713377558764,Anomaly
Beijing,2010-03-31,19.689450781934084,spring,14.502473737011327,Anomaly
Beijing,2010-04-01,15.367702564002505,spring,14.467405232291402,Expected
Beijing,2010-04-02,13.098578224803022,spring,14.549164059508225,Expected
Beijing,2010-04-03,12.290837497456309,spring,14.431020858571769,Expected
Beijing,2010-04-04,14.838407362447906,spring,14.620922715836453,Expected
Beijing,2010-04-05,17.732456892183603,spring,15.006568053728973,Expected
Beijing,2010-04-06,15.347002339588458,spring,14.917043019478042,Expected
Beijing,2010-04-07,9.189760606114811,spring,14.683059268903804,Expected
Beijing,2010-04-08,6.313593240427109,spring,14.313722827123607,Anomaly
Beijing,2010-04-09,12.21494594807043,spring,14.040641583823081,Expected
Beijing,2010-04-10,8.822063213184416,spring,13.805858980746306,Expected
Beijing,2010-04-11,10.685387898253204,spring,13.717594606996297,Expected
Beijing,2010-04-12,12.26702059331416,spring,13.695091932236105,Expected
Beijing,2010-04-13,13.8706393705411,spring,13.791697316067836,Expected
Beijing,2010-04-14,13.322034580800036,spring,13.659287029208445,Expected
Beijing,2010-04-15,2.3490957681708124,spring,13.303189900101813,Anomaly
